Tree.ID	Age	Forest.ID	dbhib.cm	height.m
28	123	Nez Perce	71.12	51.6635999214713
28	113	Nez Perce	69.088	49.5604799246681
28	103	Nez Perce	66.294	47.2439999281891
28	93	Nez Perce	63.5	45.7199999305056
28	83	Nez Perce	60.198	43.1596799343973
28	73	Nez Perce	54.102	38.7400799411151
28	63	Nez Perce	48.26	36.1797599450068
28	53	Nez Perce	42.418	31.6077599519562
28	43	Nez Perce	30.988	27.6758399579327
28	33	Nez Perce	24.892	23.7134399639556
28	23	Nez Perce	18.034	16.6725599746577
28	13	Nez Perce	10.414	8.04671998776898
29	77	Nez Perce	54.61	45.872399930274
29	67	Nez Perce	45.974	41.4223199370381
29	57	Nez Perce	37.084	36.5759999444045
29	47	Nez Perce	29.21	29.2607999555236
29	37	Nez Perce	19.812	22.6161599656234
29	27	Nez Perce	11.176	12.8930399804026
29	17	Nez Perce	6.858	5.42543999175333
30	124	Clearwater	64.77	47.3049599280965
30	114	Clearwater	60.452	45.5066399308299
30	104	Clearwater	56.642	43.4949599338877
30	94	Clearwater	53.34	41.6051999367601
30	84	Clearwater	50.292	40.0811999390766
30	74	Clearwater	46.482	37.4294399431072
30	64	Clearwater	43.942	35.417759946165
30	54	Clearwater	38.354	31.6991999518172
30	44	Clearwater	33.528	26.8833599591373
30	34	Clearwater	25.654	22.0675199664574
30	24	Clearwater	17.78	16.001999975677
30	14	Clearwater	9.652	9.35735998577681
31	141	Clearwater	87.122	62.9411999043294
31	131	Clearwater	82.55	60.7161599077114
31	121	Clearwater	77.724	58.4606399111398
31	111	Clearwater	72.39	56.3575199143366
31	101	Clearwater	66.294	53.1875999191548
31	91	Clearwater	57.404	50.0786399238805
31	81	Clearwater	49.53	46.3600799295327
31	71	Clearwater	39.878	43.3425599341193
31	61	Clearwater	36.068	38.9839199407444
31	51	Clearwater	28.956	34.0156799482962
31	41	Clearwater	21.844	27.7063199578864
31	31	Clearwater	14.732	19.8729599697931
31	21	Clearwater	10.16	13.0759199801246
32	43	Nez Perce	45.974	31.4553599521879
32	33	Nez Perce	35.052	23.5610399641872
32	23	Nez Perce	22.86	17.8917599728045
32	13	Nez Perce	11.176	8.56487998698138
33	72	Coeur dAlene	54.61	45.2627999312005
33	62	Coeur dAlene	49.784	41.1175199375014
33	52	Coeur dAlene	44.196	36.1187999450994
33	42	Coeur dAlene	36.83	30.0227999543653
33	32	Coeur dAlene	27.686	23.7743999638629
33	22	Coeur dAlene	18.288	14.6913599776691
33	12	Coeur dAlene	7.62	6.76655998971483
34	78	Kaniksu	55.118	41.7575999365284
34	68	Kaniksu	50.038	37.7647199425976
34	58	Kaniksu	45.212	32.735519950242
34	48	Kaniksu	39.116	27.4015199583497
34	38	Kaniksu	31.75	20.6654399685885
34	28	Kaniksu	22.606	13.5331199794297
34	18	Kaniksu	11.684	6.70559998980749
35	54	Nez Perce	36.068	27.2491199585813
35	44	Nez Perce	29.464	24.231599963168
35	34	Nez Perce	22.098	17.4650399734531
35	24	Nez Perce	16.002	13.1063999800783
35	14	Nez Perce	8.636	6.43127999022445
36	44	Nez Perce	18.034	15.6362399762329
36	34	Nez Perce	13.716	12.0700799816535
36	24	Nez Perce	9.144	7.58951998846393
36	14	Nez Perce	5.588	4.51103999314322
37	117	Nez Perce	61.214	43.5863999337487
37	107	Nez Perce	54.864	41.6051999367601
37	97	Nez Perce	47.244	39.1972799404201
37	87	Nez Perce	42.672	36.9417599438485
37	77	Nez Perce	38.608	34.9300799469063
37	67	Nez Perce	34.544	30.9371999529755
37	57	Nez Perce	29.21	25.2983999615464
37	47	Nez Perce	24.892	21.3055199676156
37	37	Nez Perce	19.304	17.4650399734531
37	27	Nez Perce	11.43	10.1803199845259
37	17	Nez Perce	7.112	6.24839999050243
37	7	Nez Perce	1.778	2.28599999652528
38	71	Coeur dAlene	43.434	25.4507999613148
38	61	Coeur dAlene	38.354	23.1952799647432
38	51	Coeur dAlene	33.274	19.4767199703954
38	41	Coeur dAlene	29.718	16.8249599744261
38	31	Coeur dAlene	23.622	13.8074399790127
38	21	Coeur dAlene	13.97	8.93063998642543
38	11	Coeur dAlene	6.858	4.02335999388449
39	78	Coeur dAlene	44.196	31.6991999518172
39	68	Coeur dAlene	40.132	28.3768799568671
39	58	Coeur dAlene	33.782	21.2140799677546
39	48	Coeur dAlene	28.702	18.775679971461
39	38	Coeur dAlene	22.098	14.8742399773912
39	28	Coeur dAlene	16.002	8.71727998674973
39	18	Coeur dAlene	13.208	4.57199999305056
39	8	Coeur dAlene	6.35	2.65175999596932
40	86	Nez Perce	33.782	25.2679199615928
40	76	Nez Perce	27.94	21.2445599677083
40	66	Nez Perce	21.844	15.3009599767425
40	56	Nez Perce	19.558	14.2036799784104
40	46	Nez Perce	14.986	11.2471199829044
40	36	Nez Perce	10.668	8.01623998781531
40	26	Nez Perce	7.366	5.42543999175333
40	16	Nez Perce	4.826	3.38327999485741
41	82	Payette	59.944	40.2640799387986
41	72	Payette	52.07	37.4599199430609
41	62	Payette	42.926	33.4975199490838
41	52	Payette	35.814	27.7367999578401
41	42	Payette	28.194	22.6771199655308
41	32	Payette	20.32	15.7581599760476
41	22	Payette	12.954	10.3936799842016
41	12	Payette	7.366	4.87679999258726
42	86	Payette	61.214	39.8068799394935
42	76	Payette	53.086	36.0273599452384
42	66	Payette	43.434	28.6511999564502
42	56	Payette	38.1	23.3781599644652
42	46	Payette	31.242	22.0370399665037
42	36	Payette	20.828	16.2153599753527
42	26	Payette	13.716	9.02207998628644
42	16	Payette	6.604	4.14527999369917
43	65	Payette	31.242	27.5234399581644
43	55	Payette	25.146	22.7685599653918
43	45	Payette	19.812	16.0629599755843
43	35	Payette	15.494	12.8930399804026
43	25	Payette	10.668	10.0279199847576
43	15	Payette	5.842	5.36447999184599
44	138	Payette	64.008	35.4787199460723
44	128	Payette	58.928	33.0403199497787
44	118	Payette	53.594	30.5714399535314
44	108	Payette	51.054	28.2549599570525
44	98	Payette	48.006	26.2737599600639
44	88	Payette	39.116	22.7380799654381
44	78	Payette	32.766	18.8061599714146
44	68	Payette	25.654	15.6667199761866
44	58	Payette	21.336	13.594079979337
44	48	Payette	14.986	10.3936799842016
44	38	Payette	11.176	8.22959998749101
45	108	Payette	44.45	30.6628799533924
45	98	Payette	37.592	26.3042399600176
45	88	Payette	30.988	20.8787999682642
45	78	Payette	28.194	18.958559971183
45	68	Payette	23.368	17.3431199736385
45	58	Payette	17.78	11.1556799830434
45	48	Payette	14.478	10.3936799842016
45	38	Payette	9.906	8.07719998772266
45	28	Payette	6.35	4.20623999360652
46	39	Payette	23.876	15.9715199757233
46	29	Payette	13.97	9.23543998596213
46	19	Payette	6.096	4.48055999318955
46	9	Payette	2.54	2.43839999629363
47	44	Payette	23.876	19.7205599700247
47	34	Payette	16.256	14.6303999777618
47	24	Payette	9.144	6.46175999017812
47	14	Payette	5.334	2.62127999601565
48	107	Nez Perce	56.134	37.4903999430146
48	97	Nez Perce	50.292	34.9300799469063
48	87	Nez Perce	43.942	32.278319950937
48	77	Nez Perce	39.878	30.6323999534387
48	67	Nez Perce	33.274	27.7367999578401
48	57	Nez Perce	27.94	24.3535199629826
48	47	Nez Perce	22.606	20.1472799693761
48	37	Nez Perce	17.018	15.5447999763719
48	27	Nez Perce	11.938	11.6738399822558
48	17	Nez Perce	7.62	6.97991998939052
49	88	Nez Perce	44.196	36.3016799448214
49	78	Nez Perce	38.354	32.826959950103
49	68	Nez Perce	32.512	28.9255199560332
49	58	Nez Perce	26.924	24.688799962473
49	48	Nez Perce	19.304	17.5564799733142
49	38	Nez Perce	12.7	8.83919998656441
49	28	Nez Perce	7.366	4.87679999258726
49	18	Nez Perce	3.81	3.20039999513539
50	44	Nez Perce	25.654	24.0791999633996
50	34	Nez Perce	19.304	18.4708799719243
50	24	Nez Perce	10.668	8.99159998633277
50	14	Nez Perce	6.35	4.35863999337487
51	82	Nez Perce	31.242	22.4942399658088
51	72	Nez Perce	26.67	19.1109599709513
51	62	Nez Perce	20.828	17.4040799735458
51	52	Nez Perce	16.51	11.7957599820704
51	42	Nez Perce	12.192	7.83335998809329
51	32	Nez Perce	6.858	3.90143999406981
52	112	Nez Perce	41.656	35.509199946026
52	102	Nez Perce	38.354	33.4670399491301
52	92	Nez Perce	35.56	31.6687199518635
52	82	Nez Perce	32.766	29.6570399549213
52	72	Nez Perce	29.718	26.8528799591836
52	62	Nez Perce	25.654	21.9760799665964
52	52	Nez Perce	22.606	17.9527199727119
52	42	Nez Perce	20.574	14.1427199785031
52	32	Nez Perce	16.256	11.0642399831824
52	22	Nez Perce	11.43	7.25423998897355
52	12	Nez Perce	5.842	4.20623999360652
53	101	Nez Perce	55.626	31.6382399519099
53	91	Nez Perce	49.784	29.9008799545507
53	81	Nez Perce	43.942	28.2244799570988
53	71	Nez Perce	39.878	26.5175999596932
53	61	Nez Perce	34.798	23.5915199641409
53	51	Nez Perce	27.432	19.9339199697004
53	41	Nez Perce	20.32	13.9903199787347
53	31	Nez Perce	13.208	8.01623998781531
53	21	Nez Perce	7.366	4.75487999277258
53	11	Nez Perce	3.048	2.65175999596932
54	61	Nez Perce	30.988	29.8399199546433
54	51	Nez Perce	26.924	25.7860799608052
54	41	Nez Perce	20.828	19.5071999703491
54	31	Nez Perce	14.224	13.1063999800783
54	21	Nez Perce	8.636	7.98575998786164
54	11	Nez Perce	4.064	4.54151999309689
55	53	Nez Perce	33.528	28.3463999569135
55	43	Nez Perce	26.924	24.3839999629363
55	33	Nez Perce	19.05	16.733519974565
55	23	Nez Perce	13.462	9.11351998614745
55	13	Nez Perce	7.366	5.18159999212397
56	53	Nez Perce	36.322	32.2478399509833
56	43	Nez Perce	29.972	27.0357599589056
56	33	Nez Perce	19.812	20.5739999687275
56	23	Nez Perce	13.716	12.4663199810512
56	13	Nez Perce	7.366	8.71727998674973
57	129	Nez Perce	74.168	44.8055999318955
57	119	Nez Perce	70.104	42.2147999358335
57	109	Nez Perce	66.548	39.2582399403275
57	99	Nez Perce	64.262	37.8866399424123
57	89	Nez Perce	59.182	36.3931199446825
57	79	Nez Perce	51.308	32.918399949964
57	69	Nez Perce	45.212	30.9676799529291
57	59	Nez Perce	38.608	28.9559999559869
57	49	Nez Perce	30.988	26.0603999603882
57	39	Nez Perce	24.13	21.549359967245
57	29	Nez Perce	18.542	16.3067999752137
57	19	Nez Perce	12.7	10.0888799846649
57	9	Nez Perce	5.842	4.66343999291157
58	59	Nez Perce	38.354	26.5175999596932
58	49	Nez Perce	27.432	23.7743999638629
58	39	Nez Perce	22.606	18.6232799716926
58	29	Nez Perce	18.034	12.7406399806342
58	19	Nez Perce	12.954	8.80871998661075
58	9	Nez Perce	5.334	4.23671999356019
59	129	Clearwater	68.072	49.286159925085
59	119	Clearwater	63.5	47.0611199284671
59	109	Clearwater	57.658	44.8665599318028
59	99	Clearwater	52.324	43.0682399345363
59	89	Clearwater	48.006	41.3308799371771
59	79	Clearwater	41.91	38.191439941949
59	69	Clearwater	37.338	35.4787199460723
59	59	Clearwater	31.242	30.2666399539947
59	49	Clearwater	26.67	27.7672799577937
59	39	Clearwater	20.574	22.9209599651601
59	29	Clearwater	14.732	16.0324799756306
59	19	Clearwater	10.922	8.47343998712037
59	9	Clearwater	4.064	3.2918399949964
60	69	St. Joe	45.72	27.9196799575621
60	59	St. Joe	39.116	24.7497599623804
60	49	St. Joe	32.512	21.457919967384
60	39	St. Joe	25.654	16.8249599744261
60	29	St. Joe	18.542	11.6128799823484
60	19	St. Joe	10.414	6.52271999008546
60	9	St. Joe	3.81	3.16991999518172
61	130	St. Joe	67.564	48.8594399257337
61	120	St. Joe	63.5	47.1830399282818
61	110	St. Joe	60.706	44.8970399317565
61	100	St. Joe	58.166	42.6110399352312
61	90	St. Joe	54.864	40.4774399384743
61	80	St. Joe	50.8	36.6369599443118
61	70	St. Joe	46.99	33.9851999483425
61	60	St. Joe	41.91	30.5104799536241
61	50	St. Joe	35.56	25.6641599609905
61	40	St. Joe	28.194	19.8729599697931
61	30	St. Joe	20.32	13.685519979198
61	20	St. Joe	13.716	8.22959998749101
61	10	St. Joe	5.842	4.51103999314322
62	135	Clark Fork	54.102	42.6415199351849
62	125	Clark Fork	51.308	40.873679937872
62	115	Clark Fork	48.514	38.9229599408371
62	105	Clark Fork	45.72	36.6064799443581
62	95	Clark Fork	42.926	35.1129599466283
62	85	Clark Fork	39.624	33.1317599496397
62	75	Clark Fork	37.592	31.9430399514466
62	65	Clark Fork	33.782	29.7484799547823
62	55	Clark Fork	28.702	24.5668799626583
62	45	Clark Fork	23.368	21.7017599670133
62	35	Clark Fork	17.018	15.4838399764646
62	25	Clark Fork	9.906	8.77823998665708
62	15	Clark Fork	4.318	4.17575999365284
63	67	Umatilla	35.306	25.9689599605272
63	57	Umatilla	31.496	22.8904799652065
63	47	Umatilla	26.924	18.9280799712293
63	37	Umatilla	20.574	14.1122399785494
63	27	Umatilla	14.732	9.44879998563782
63	17	Umatilla	8.636	5.33399999189232
64	95	Clark Fork	44.196	37.2465599433852
64	85	Clark Fork	40.64	34.0461599482498
64	75	Clark Fork	37.846	30.7238399532998
64	65	Clark Fork	34.036	28.2244799570988
64	55	Clark Fork	29.718	25.6031999610831
64	45	Clark Fork	21.844	20.6349599686349
64	35	Clark Fork	17.272	14.7523199775765
64	25	Clark Fork	10.16	9.32687998582314
64	15	Clark Fork	5.334	4.87679999258726
65	132	Kaniksu	69.85	44.1350399329147
65	122	Kaniksu	66.294	42.4281599355092
65	112	Kaniksu	62.992	40.6603199381963
65	102	Kaniksu	58.42	39.1363199405128
65	92	Kaniksu	54.102	37.0636799436632
65	82	Kaniksu	50.292	34.5947999474159
65	72	Kaniksu	44.958	32.278319950937
65	62	Kaniksu	38.354	28.8950399560795
65	52	Kaniksu	30.226	21.549359967245
65	42	Kaniksu	22.86	12.4967999810049
65	32	Kaniksu	13.462	7.95527998790797
65	22	Kaniksu	7.112	4.96823999244828
65	12	Kaniksu	3.81	3.20039999513539
66	87	Wallowa	52.832	31.6991999518172
66	77	Wallowa	44.958	28.8340799561722
66	67	Wallowa	39.624	26.1823199602029
66	57	Wallowa	33.528	24.4754399627973
66	47	Wallowa	26.67	22.9514399651138
66	37	Wallowa	19.05	16.001999975677
66	27	Wallowa	12.192	10.1498399845722
66	17	Wallowa	7.366	6.03503999082674
67	87	Wallowa	32.766	25.6336799610368
67	77	Wallowa	28.702	23.6219999640946
67	67	Wallowa	24.892	20.9702399681252
67	57	Wallowa	22.098	18.0441599725729
67	47	Wallowa	18.796	13.8379199789664
67	37	Wallowa	14.478	9.29639998586947
67	27	Wallowa	10.16	6.61415998994648
67	17	Wallowa	6.096	4.20623999360652
68	124	Umatilla	68.58	45.0189599315712
68	114	Umatilla	65.024	42.5500799353239
68	104	Umatilla	58.42	38.9229599408371
68	94	Umatilla	51.308	35.417759946165
68	84	Umatilla	44.196	30.1142399542264
68	74	Umatilla	34.544	21.457919967384
68	64	Umatilla	29.718	21.0616799679862
68	54	Umatilla	22.098	14.3865599781324
68	44	Umatilla	15.494	8.86967998651809
68	34	Umatilla	8.128	4.51103999314322
69	70	Umatilla	41.656	28.7426399563112
69	60	Umatilla	36.576	25.6641599609905
69	50	Umatilla	30.988	20.9702399681252
69	40	Umatilla	24.13	15.5447999763719
69	30	Umatilla	17.018	10.1193599846186
69	20	Umatilla	9.398	5.30351999193865
70	58	Umatilla	42.672	31.5467999520489
70	48	Umatilla	38.608	29.3217599554309
70	38	Umatilla	32.512	24.0791999633996
70	28	Umatilla	24.892	17.3735999735921
70	18	Umatilla	17.272	10.4241599841553
71	128	Umatilla	60.96	32.9488799499177
71	118	Umatilla	58.42	31.0895999527438
71	108	Umatilla	55.118	28.0415999573768
71	98	Umatilla	49.022	25.2069599616854
71	88	Umatilla	42.418	21.0311999680326
71	78	Umatilla	33.274	16.9468799742407
71	68	Umatilla	26.416	12.9539999803099
71	58	Umatilla	19.304	9.41831998568415
71	48	Umatilla	14.732	6.52271999008546
71	38	Umatilla	8.89	5.1511199921703
72	114	Umatilla	76.708	48.0059999270309
72	104	Umatilla	71.882	46.7258399289767
72	94	Umatilla	65.024	44.7446399319881
72	84	Umatilla	58.42	42.7024799350922
72	74	Umatilla	51.562	38.5876799413467
72	64	Umatilla	42.164	32.2478399509833
72	54	Umatilla	31.75	26.0299199604345
72	44	Umatilla	21.082	17.4650399734531
72	34	Umatilla	10.414	8.93063998642543
72	24	Umatilla	5.588	5.12063999221663
72	14	Umatilla	2.54	2.07263999684959
73	48	Umatilla	44.958	31.3639199523268
73	38	Umatilla	37.084	26.7309599593689
73	28	Umatilla	24.638	20.3301599690982
73	18	Umatilla	13.716	12.3748799811902
74	63	Nez Perce	42.926	36.6674399442655
74	53	Nez Perce	35.306	32.0954399512149
74	43	Nez Perce	26.924	24.6278399625657
74	33	Nez Perce	19.812	18.3489599721096
74	23	Nez Perce	11.43	9.60119998540618
74	13	Nez Perce	5.334	4.69391999286524
75	64	Nez Perce	35.814	28.4683199567282
75	54	Nez Perce	28.448	25.0850399618707
75	44	Nez Perce	24.13	21.8541599667817
75	34	Nez Perce	19.558	18.5318399718316
75	24	Nez Perce	14.224	14.4170399780861
75	14	Nez Perce	8.382	8.35151998730569
76	53	Nez Perce	30.48	21.0616799679862
76	43	Nez Perce	27.432	18.3184799721559
76	33	Nez Perce	22.86	15.0571199771132
76	23	Nez Perce	18.288	11.4604799825801
76	13	Nez Perce	11.176	7.22375998901988
77	112	St. Joe	50.038	42.8853599348142
77	102	St. Joe	44.704	41.056559937594
77	92	St. Joe	39.37	38.5571999413931
77	82	St. Joe	35.306	35.7225599457017
77	72	St. Joe	30.734	33.0403199497787
77	62	St. Joe	25.146	27.8891999576084
77	52	St. Joe	20.066	23.8353599637703
77	42	St. Joe	15.748	18.5927999717389
77	32	St. Joe	11.938	14.1731999784567
77	22	St. Joe	8.128	8.50391998707404
77	12	St. Joe	4.318	4.08431999379183
84	142	Umatilla	58.42	33.6194399488984
84	122	Umatilla	52.07	30.2666399539947
84	132	Umatilla	55.372	32.278319950937
84	112	Umatilla	48.006	28.1939999571451
84	102	Umatilla	43.688	25.7251199608978
84	92	Umatilla	38.1	23.7439199639092
84	82	Umatilla	34.29	22.7990399653455
84	72	Umatilla	28.956	18.9890399711367
84	62	Umatilla	22.098	14.6913599776691
84	52	Umatilla	17.526	9.99743998480389
84	42	Umatilla	14.478	5.94359999096573
85	118	Wallowa	58.674	37.8561599424586
85	108	Wallowa	55.118	36.3016799448214
85	98	Wallowa	51.308	34.5947999474159
85	88	Wallowa	48.514	33.7108799487595
85	78	Wallowa	43.942	31.8515999515856
85	68	Wallowa	36.322	29.778959954736
85	58	Wallowa	31.75	28.9864799559405
85	48	Wallowa	24.892	25.7251199608978
85	38	Wallowa	17.526	18.3184799721559
85	28	Wallowa	11.684	11.2471199829044
85	18	Wallowa	6.604	6.18743999059509
